Key,Id,Shared Comments,Chinese (Simplified)(zh-Hans),Chinese (Simplified)(zh-Hans) Comments,English(en),English(en) Comments,Japanese(ja),Japanese(ja) Comments
"id_information_text",189946527744,""," 信息",""," Infornation",""," 信息",""
"id_character_level_text",4700147265679360,"","等级","","Levels","","等级",""
"id_character_souls_text",4700210528366592,"","灵魂","","Souls","","灵魂",""
"id_attribute_text",297706586112,""," 属性",""," Attribute",""," 属性",""
"id_health_text",449959821312,"","生命力","","Health","","生命力",""
"id_mana_text",4321976099909632,"","魔法值","","Mana","","魔法值",""
"id_physical_attack_text",4693103607394304,"","物攻","","Physical Attack","","物攻",""
"id_physical_Defense_text",4699535144759296,"","物防","","Physical Defense","","物防",""
"id_magical_Defense_text",4699578811658240,"","法防","","Magical Defense","","法防",""
"id_agility_text",1159409565696,"","灵巧","","Agility","","灵巧",""
"id_luck_text",1281069547520,"","幸运","","Luck","","幸运",""
"id_focus_text",606294114304,"","专注力","","Focus","","专注力",""
"id_endurance_text",742080512000,"","耐力","","Endurance","","耐力",""
"id_intelligence_text",849408557056,"","智力","","Intel.","","智力",""
"id_resistance_text",971861262336,"","抗性","","Resistance","","抗性",""
"id_insight_text",1097354838016,"","洞察","","Insight","","洞察",""
"id_remaining_points_inteltext",1412359651328,"","剩余 {remainPoints} 个可用点数","","Remaining {remainPoints} available points","","剩余 {remainPoints} 个可用点数",""
"id_character_text",2374001065328640,"","角色","","Character","","角色",""
"id_character_points_text",4700469975429120,"","加点","","Points","","加点",""